"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","Domain","Sample1","Sample2"
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",23.87,23.62,24.12,18.71,18.45,19.03,22.78,22.57,23.11,28.19,27.85,28.62,25502,4670,1514
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",24.8,24.62,24.97,19.4,19.25,19.6,23.58,23.37,23.78,28.98,28.64,29.29,112783,19581,3523
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",26.53,26.39,26.67,20.57,20.34,20.76,25.53,25.34,25.69,31.31,31.06,31.59,111769,21039,5136
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",19.4,18.73,20.07,16.89,14.9,17.43,18.78,18.45,19.6,21.29,20.38,22,420,280,24
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",20.53,19.85,21.21,18.66,17.93,18.72,19.64,19.5,21.64,21.86,21.5,23.76,372,159,13
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",16.41,15.64,17.18,13.59,13.18,15.8,16.09,15.79,16.48,17.17,16.89,17.88,607,360,13
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",19.07,18.59,19.54,17.32,17.09,17.86,18.78,18.66,19.81,20.14,19.9,21.49,446,234,15
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",15.8,15.14,16.45,13.07,12.6,13.69,15.35,14.99,15.67,16.76,16.37,17.34,532,304,12
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",18.07,17.61,18.54,15.69,15.08,16.7,17.7,17.26,18.66,19.93,19.69,21.46,372,234,4
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",17.01,16.59,17.42,13.74,13.18,14.6,16.32,16.08,16.57,18.73,18.19,19.6,1559,944,49
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",19.21,18.82,19.61,17.28,16.97,17.64,18.77,18.66,19.57,21.35,19.94,21.83,1190,627,32
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",33.83,32.58,35.08,30.55,29,32.74,34.33,32.7,35.86,37.37,35.34,39.44,1078,208,36
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",38.28,36.47,40.08,34.16,32.04,36.69,37.97,37.13,38.93,43.46,40.06,45.2,1123,193,39
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",31.9,29.9,33.9,27.8,26.06,30.08,30.62,28.61,33.78,36.04,30.74,36.36,1055,133,26
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",34.16,32.58,35.75,31.42,29.95,33.13,34.74,32.85,36.85,37.74,36.72,38.68,1248,259,44
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",30.36,29.11,31.6,27.43,26.79,28.37,29.83,28.25,31.26,33.07,30.51,35.61,617,144,21
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",31.28,29.59,32.97,29.15,27.11,30.3,30.74,29.83,32.6,34.7,31.94,36.66,508,61,26
